skill_id,strand,expectation_code,expectation_text,notes
GEOM_CREATE_ANALYSE_DESIGNS,Geometry & Measurement,E1.2,Create and analyse designs with geometric relationships and circle/triangle properties,Uses tools for design and analysis
GEOM_SOLVE_UNITS,Geometry & Measurement,E1.3,Solve problems converting within/between measurement systems from various cultures,"Unit conversions, representation, tech use"
GEOM_DIMENSION_CHANGE,Geometry & Measurement,E1.4,"Show how dimension changes affect perimeter, area, surface area, volume",Scaling relationships
GEOM_RIGHT_TRIANGLES,Geometry & Measurement,E1.5,Solve problems with side-length relationships in right triangles in real contexts,"Pythagoras, trig, composite shapes"
GEOM_VOLUME_REL,Geometry & Measurement,E1.6,Solve problems using volume relationships between prisms/pyramids and cylinders/cones,Volume formulas and conversions
NUM_DEV_CULTURE,Number,B1.1,Research a number concept to tell a story about its development and use in a specific culture,Connects math history with cultural context
NUM_SETS_COMPARE,Number,B1.2,"Describe how various subsets of a number system are defined, and compare similarities/differences","Natural, whole, integers, rationals, irrationals"
NUM_DENSITY_INFINITY,Number,B1.3,"Use patterns and number relationships to explain density, infinity, and limit in number sets",Intro to real number properties
NUM_POWERS_SIGN_SIZE,Number,B2.1,Analyse relationship between sign/size of an exponent and value of a power; express in scientific notation,"Positive, negative, zero exponents"
NUM_POWERS_LAWS,Number,B2.2,Analyse and use exponent laws to simplify numeric/algebraic expressions,"Product, quotient, power laws"
NUM_INTEGERS_CONTEXT,Number,B3.1,"Apply understanding of integers to describe location, direction, amount, and changes","Number lines, temperature, elevation"
NUM_UNIT_FRACTIONS,Number,B3.2,Apply understanding of unit fractions and their relation to other fractions,Measurement and proportional reasoning
NUM_SIGNS_RATIOS,Number,B3.3,"Apply understanding of integers to explain effect of signs on ratios, rates, fractions, decimals",Sign rules
NUM_OPS_FRACTIONS,Number,B3.4,Solve problems with operations on positive/negative fractions and mixed numbers,"Formulas, measurement, linear relations"
NUM_RATES_PERCENTS,Number,B3.5,"Pose and solve problems with rates, percentages, and proportions in real contexts","Connections to data, measurement, geometry, financial literacy"
